Angle,Cp,p
-1.758885e+02,-2.704327e-01,4.335464e-02
-1.766250e+02,-2.686014e-01,4.427031e-02
-1.773615e+02,-2.665273e-01,4.530735e-02
-1.098615e+02,-2.622685e-01,4.743677e-02
-1.091250e+02,-2.582730e-01,4.943452e-02
-1.083885e+02,-2.541667e-01,5.148765e-02
-1.080000e+02,-2.520322e-01,5.255490e-02
-3.336146e+01,1.187875e+00,7.725086e-01
-3.262500e+01,1.205926e+00,7.815342e-01
-3.188854e+01,1.223303e+00,7.902226e-01
1.388854e+01,1.558346e+00,9.577439e-01
1.462500e+01,1.546487e+00,9.518147e-01
1.536146e+01,1.534744e+00,9.459430e-01
1.575000e+01,1.528679e+00,9.429107e-01
-1.391115e+02,-2.671158e-01,4.501311e-02
-1.383750e+02,-2.670947e-01,4.502367e-02
-1.376385e+02,-2.670834e-01,4.502929e-02
-1.372500e+02,-2.670820e-01,4.502998e-02
1.485000e+02,-2.533904e-01,5.187581e-02
1.488885e+02,-2.533882e-01,5.187688e-02
1.496250e+02,-2.533725e-01,5.188474e-02
1.503615e+02,-2.533504e-01,5.189580e-02
1.507500e+02,-2.533389e-01,5.190155e-02
-1.751115e+02,-2.720137e-01,4.256415e-02
-1.743750e+02,-2.731789e-01,4.198156e-02
-1.736385e+02,-2.740240e-01,4.155901e-02
-1.732500e+02,-2.743451e-01,4.139845e-02
3.600000e+01,1.127371e+00,7.422563e-01
3.561146e+01,1.137019e+00,7.470807e-01
3.487500e+01,1.153682e+00,7.554118e-01
3.413854e+01,1.169108e+00,7.631248e-01
3.375000e+01,1.177276e+00,7.672088e-01
-1.526115e+02,-2.705543e-01,4.329384e-02
-1.518750e+02,-2.702676e-01,4.343721e-02
-1.511385e+02,-2.698183e-01,4.366186e-02
-1.507500e+02,-2.695222e-01,4.380990e-02
3.638854e+01,1.112242e+00,7.346920e-01
3.712500e+01,1.084797e+00,7.209696e-01
3.786146e+01,1.064159e+00,7.106504e-01
-1.485000e+02,-2.674695e-01,4.483625e-02
-1.481115e+02,-2.671561e-01,4.499296e-02
-1.473750e+02,-2.666800e-01,4.523101e-02
-1.466385e+02,-2.664122e-01,4.536488e-02
-1.462500e+02,-2.663573e-01,4.539233e-02
-5.811146e+01,5.358413e-01,4.464916e-01
-5.737500e+01,5.546340e-01,4.558880e-01
-5.663854e+01,5.732675e-01,4.652047e-01
-5.625000e+01,5.832879e-01,4.702149e-01
1.301115e+02,-2.517462e-01,5.269791e-02
1.293750e+02,-2.518221e-01,5.265996e-02
1.286385e+02,-2.519035e-01,5.261924e-02
8.588854e+01,-2.843711e-02,1.643524e-01
8.662500e+01,-3.905454e-02,1.590437e-01
8.736146e+01,-4.970318e-02,1.537194e-01
8.775000e+01,-5.524769e-02,1.509472e-01
